,Ticker,Price,Currency,Shares,Value,Weight
1,JPM,299.41,USD,105.7985,43714.44,4.38
2,V,321.18,USD,96.0845,42587.38,4.27
3,CSCO,77.37,USD,395.9521,42276.04,4.24
4,HON,191.45,USD,157.5901,41635.46,4.17
5,MA,527.58,USD,56.7481,41316.04,4.14
6,LOW,219.57,USD,133.8744,40564.83,4.07
7,HD,336.48,USD,86.876,40340.21,4.04
8,AAPL,267.44,USD,109.0604,40250.62,4.04
9,IBM,289.95,USD,99.7966,39931.71,4.0
10,MSFT,493.79,USD,58.5539,39900.4,4.0
11,ACN,240.0,USD,120.2225,39817.69,3.99
12,GOOGL,284.28,USD,101.3869,39774.73,3.99
13,BA,189.63,USD,151.5362,39655.42,3.98
14,ADBE,324.47,USD,88.3767,39572.31,3.97
15,UPS,92.83,USD,308.744,39551.77,3.97
16,UNP,220.82,USD,129.6527,39509.27,3.96
17,NVDA,181.36,USD,156.6113,39196.18,3.93
18,META,597.69,USD,47.4466,39134.53,3.92
19,CRM,233.5,USD,120.7011,38893.52,3.9
20,DHR,225.51,USD,124.4869,38740.8,3.88
21,TMO,576.03,USD,48.6204,38649.4,3.87
22,QCOM,165.06,USD,167.283,38104.19,3.82
23,NKE,62.49,USD,435.7442,37576.92,3.77
24,UNH,313.58,USD,86.3712,37376.31,3.75
25,TXN,157.32,USD,170.1334,36936.23,3.7
