Ticker,Price,Currency,Shares,Value,Weight
BB.TO,5.18,CAD,36208.5453,187560.26,18.76
RY.TO,232.71,CAD,671.2968,156217.48,15.62
TD.TO,127.99,CAD,1220.5443,156217.46,15.62
CAT,576.22,USD,36.8565,29309.81,2.93
AAPL,273.67,USD,74.0737,27977.04,2.8
AMZN,227.35,USD,88.7504,27846.83,2.78
QCOM,175.25,USD,113.0156,27334.24,2.73
ACN,272.25,USD,72.5672,27265.84,2.73
UPS,101.92,USD,192.1995,27034.74,2.7
UNP,234.23,USD,83.189,26891.74,2.69
UNH,327.42,USD,59.4259,26852.92,2.69
PFE,25.19,USD,769.9225,26766.14,2.68
BMY,54.19,USD,345.5485,25842.75,2.58
LLY,1071.44,USD,17.327,25621.34,2.56
BA,214.08,USD,86.5436,25569.46,2.56
LMT,474.13,USD,38.6921,25318.05,2.53
TXN,176.29,USD,103.9165,25282.66,2.53
BLK,1060.17,USD,11.2767,16499.4,1.65
BAC,55.27,USD,211.6431,16143.74,1.61
C,114.86,USD,101.1753,16038.14,1.6
USB,54.16,USD,214.2402,16013.64,1.6
AXP,376.51,USD,30.2635,15725.56,1.57
BK,115.84,USD,95.9891,15345.85,1.53
PYPL,59.81,USD,181.812,15007.45,1.5
AIG,86.03,USD,120.5058,14307.65,1.43
